date,usages.x,usages.y,usage,daynight
2020-12-14T16:00:00Z,233,0,233,1
2020-12-14T17:00:00Z,52,0,52,1
2020-12-14T18:00:00Z,98,0,98,1
2020-12-14T19:00:00Z,578,0,578,1
2020-12-14T20:00:00Z,99,0,99,1
2020-12-14T21:00:00Z,568,0,568,1
2020-12-14T22:00:00Z,91,0,91,0
2020-12-14T23:00:00Z,59,0,59,0
2020-12-15T00:00:00Z,174,0,174,0
2020-12-15T01:00:00Z,1,444,445,0
2020-12-15T02:00:00Z,0,242,242,0
2020-12-15T03:00:00Z,0,478,478,0
2020-12-15T04:00:00Z,0,238,238,0
2020-12-15T05:00:00Z,0,416,416,0
2020-12-15T06:00:00Z,0,297,297,1
2020-12-15T07:00:00Z,0,381,381,1
2020-12-15T08:00:00Z,0,193,193,1
2020-12-15T09:00:00Z,0,219,219,1
2020-12-15T10:00:00Z,0,76,76,1
2020-12-15T11:00:00Z,0,186,186,1
2020-12-15T12:00:00Z,0,222,222,1
2020-12-15T13:00:00Z,0,303,303,1
2020-12-15T14:00:00Z,0,289,289,1
2020-12-15T15:00:00Z,0,385,385,1
2020-12-15T16:00:00Z,0,219,219,1
2020-12-15T17:00:00Z,159,1,160,1
2020-12-15T18:00:00Z,49,0,49,1
2020-12-15T19:00:00Z,128,0,128,1
2020-12-15T20:00:00Z,521,0,521,1
2020-12-15T21:00:00Z,121,0,121,1
2020-12-15T22:00:00Z,846,0,846,0
2020-12-15T23:00:00Z,49,0,49,0
2020-12-16T00:00:00Z,370,0,370,0
2020-12-16T01:00:00Z,0,338,338,0
2020-12-16T02:00:00Z,0,397,397,0
2020-12-16T03:00:00Z,0,326,326,0
2020-12-16T04:00:00Z,0,291,291,0
2020-12-16T05:00:00Z,0,452,452,0
2020-12-16T06:00:00Z,0,280,280,1
2020-12-16T07:00:00Z,0,317,317,1
2020-12-16T08:00:00Z,0,320,320,1
2020-12-16T09:00:00Z,0,240,240,1
2020-12-16T10:00:00Z,0,469,469,1
2020-12-16T11:00:00Z,0,331,331,1
2020-12-16T12:00:00Z,0,383,383,1
2020-12-16T13:00:00Z,0,272,272,1
2020-12-16T14:00:00Z,0,342,342,1
2020-12-16T15:00:00Z,0,267,267,1
2020-12-16T16:00:00Z,0,273,273,1
2020-12-16T17:00:00Z,120,1,121,1
2020-12-16T18:00:00Z,95,0,95,1
2020-12-16T19:00:00Z,105,0,105,1
2020-12-16T20:00:00Z,499,0,499,1
2020-12-16T21:00:00Z,177,0,177,1
2020-12-16T22:00:00Z,498,0,498,0
2020-12-16T23:00:00Z,51,0,51,0
2020-12-17T00:00:00Z,248,0,248,0
2020-12-17T01:00:00Z,8,350,358,0
2020-12-17T02:00:00Z,0,359,359,0
2020-12-17T03:00:00Z,0,475,475,0
2020-12-17T04:00:00Z,0,409,409,0
2020-12-17T05:00:00Z,0,477,477,0
2020-12-17T06:00:00Z,0,339,339,1
2020-12-17T07:00:00Z,0,414,414,1
2020-12-17T08:00:00Z,0,247,247,1
2020-12-17T09:00:00Z,0,406,406,1
2020-12-17T10:00:00Z,0,398,398,1
2020-12-17T11:00:00Z,0,351,351,1
2020-12-17T12:00:00Z,0,300,300,1
2020-12-17T13:00:00Z,0,318,318,1
2020-12-17T14:00:00Z,0,286,286,1
2020-12-17T15:00:00Z,0,312,312,1
2020-12-17T16:00:00Z,0,213,213,1
2020-12-17T17:00:00Z,122,0,122,1
2020-12-17T18:00:00Z,99,0,99,1
2020-12-17T19:00:00Z,48,0,48,1
2020-12-17T20:00:00Z,566,0,566,1
2020-12-17T21:00:00Z,82,0,82,1
2020-12-17T22:00:00Z,508,0,508,0
2020-12-17T23:00:00Z,119,0,119,0
2020-12-18T00:00:00Z,124,0,124,0
2020-12-18T01:00:00Z,0,210,210,0
2020-12-18T02:00:00Z,0,78,78,0
2020-12-18T03:00:00Z,0,37,37,0
2020-12-18T04:00:00Z,0,308,308,0
2020-12-18T05:00:00Z,0,393,393,0
2020-12-18T06:00:00Z,0,466,466,1
2020-12-18T07:00:00Z,0,349,349,1
2020-12-18T08:00:00Z,0,798,798,1
2020-12-18T09:00:00Z,0,578,578,1
2020-12-18T10:00:00Z,0,335,335,1
2020-12-18T11:00:00Z,0,1826,1826,1
2020-12-18T12:00:00Z,0,476,476,1
2020-12-18T13:00:00Z,0,432,432,1
2020-12-18T14:00:00Z,0,331,331,1
2020-12-18T15:00:00Z,0,331,331,1
2020-12-18T16:00:00Z,0,328,328,1
2020-12-18T17:00:00Z,167,2,169,1
2020-12-18T18:00:00Z,123,0,123,1
2020-12-18T19:00:00Z,66,0,66,1
2020-12-18T20:00:00Z,555,0,555,1
2020-12-18T21:00:00Z,135,0,135,1
2020-12-18T22:00:00Z,524,0,524,0
2020-12-18T23:00:00Z,142,0,142,0
2020-12-19T00:00:00Z,93,0,93,0
2020-12-19T01:00:00Z,0,718,718,0
2020-12-19T02:00:00Z,0,274,274,0
2020-12-19T03:00:00Z,0,1057,1057,0
2020-12-19T04:00:00Z,0,652,652,0
2020-12-19T05:00:00Z,0,413,413,0
2020-12-19T06:00:00Z,0,1299,1299,1
2020-12-19T07:00:00Z,0,2083,2083,1
2020-12-19T08:00:00Z,0,373,373,1
2020-12-19T09:00:00Z,0,106,106,1
2020-12-19T10:00:00Z,0,202,202,1
2020-12-19T11:00:00Z,0,2261,2261,1
2020-12-19T12:00:00Z,0,472,472,1
2020-12-19T13:00:00Z,0,296,296,1
2020-12-19T14:00:00Z,0,2231,2231,1
2020-12-19T15:00:00Z,0,392,392,1
2020-12-19T16:00:00Z,0,276,276,1
2020-12-19T17:00:00Z,155,0,155,1
2020-12-19T18:00:00Z,91,0,91,1
2020-12-19T19:00:00Z,58,0,58,1
2020-12-19T20:00:00Z,564,0,564,1
2020-12-19T21:00:00Z,72,0,72,1
2020-12-19T22:00:00Z,529,0,529,0
